GISJOIN,ZCTA5CE10
G4802450011203,77705
G4802450011600,77705
G4802450011302,77705
G4802450001303,77705
G4802450002400,77705
G4802450002300,77705
G4802450980000,77705
G4802450011303,77705
G4801510950400,79546
G4804570950300,75979
G4804570950200,75979
G4804570950400,75979
G4801130001900,75201
G4801130002100,75201
G4801130001704,75201
G4801130001701,75201
G4801150950401,79331
G4801150950402,79331
G4801150950500,79331
G4801150950600,79331
G4804390113626,76021
G4804390113627,76021
G4804390113624,76021
G4804390113628,76021
G4804390113625,76021
G4804390113629,76021
G4804390113630,76021
G4804390113623,76021
G4800190000200,78055
G4802890950300,75833
G4803750014300,79010
G4700190071600,37640
G4700910956100,37640
G4700910956200,37640
G4900410975500,84754
G4900490002902,84663
G4900490003104,84663
G4900490003106,84663
G4900490003105,84663
G4900490003103,84663
G4900490003001,84663
G4900490003002,84663
G4900490002901,84663
G5107000031300,23605
G5107000031200,23605
G5106500010309,23605
G5107000030900,23605
G5300050011700,99350
G5300050011800,99350
G5300330032703,98065
G5300330032602,98065
G5300750000900,99171
G5400810000700,25801
G5400810000600,25801
G5400810001001,25801
G5400810000300,25801
G5400810000200,25801
G5400810001500,25801
G5400810000500,25801
G5400810000400,25801
G5400810001300,25801
G5400870963000,25276
G5400870962800,25276
G5401010970200,26288
G5401010970100,26288
G5400010965800,26250
G5501110000700,53583
G5500530960100,54615
G5500530960500,54615
G5500810950100,54666
G5600050000500,82718
G5600050000200,82718
G5600050000100,82718
G5600050000300,82718
G5101650011000,22830
G4701230925502,37385
G4701230925501,37385
G5500110960200,54755
G5500110960100,54755
G0201700000501,99652
G0202900000100,99740
G2700710790500,56627
G3400030028001,07605
G3400030028002,07605
G3300170088500,03855
G3400390038700,07023
G4100610970100,97827
G3700610090802,28458
G4200450404004,19043
G7200310050302,00982
G7200310050321,00982
G7200310050311,00982
G7200310050331,00982
G7200310050341,00982
G5400130962600,26147
G5400670950700,26679
G0100610050400,36344
G0101290044000,36518
G0400150953401,86406
G0400150952800,86406
G0400150953402,86406
G0400150953300,86406
G0500770470300,72360
G0500770470100,72360
G0500770470400,72360
G0600870121800,95010
G0600870121700,95010
G0600450010500,95437
G0600450010300,95437
G0600450010400,95437
G0600350040100,96132
G0800690002401,80536
G0101250010802,35453
G0101250010804,35453
G0101250010702,35453
G0400170960400,86047
G0400170940015,86047
G0400170960500,86047
G0400170960600,86047
G1200860007901,33146
G1200860980300,33146
G1200860007501,33146
G1200860007400,33146
G1200860007503,33146
G2100890040501,41144
G2100890040502,41144
G2200450031200,70560
G2200450030400,70560
G2200450031600,70560
G2200450031000,70560
G2200450031300,70560
G2200450031100,70560
G2200450030900,70560
G2200450030800,70560
G2200450030301,70560
G2200450030302,70560
