GISJOIN,ZCTA5CE10
G4800390661900,77583
G4801090950100,79855
G4801090950200,79855
G4803310950300,76567
G4803310950700,76567
G4804550950200,75845
G4804550950100,75845
G4802450001303,77705
G4802450011203,77705
G4802450002300,77705
G4802450011201,77705
G4802450002200,77705
G4802450002600,77705
G4802450002500,77705
G4802450011202,77705
G4802450011600,77705
G4802450002400,77705
G4802450011302,77705
G4802450011301,77705
G4801510950400,79546
G4804570950200,75979
G4804570950300,75979
G4804570950400,75979
G4801130001900,75201
G4801130001701,75201
G4801130003201,75201
G4801150950600,79331
G4801150950400,79331
G4801150950500,79331
G4804390113623,76021
G4804390113627,76021
G4804390113629,76021
G4804390113628,76021
G4804390113624,76021
G4804390113626,76021
G4804390113625,76021
G4804390113630,76021
G4800190980200,78055
G4802890950300,75833
G4803750014300,79010
G4700910956200,37640
G4700910956100,37640
G4700190071600,37640
G4900410975500,84754
G4900490003101,84663
G4900490002900,84663
G4900490003000,84663
G4900490003102,84663
G5106500010309,23605
G5107000031300,23605
G5107000030900,23605
G5107000031200,23605
G5300050011800,99350
G5300050011700,99350
G5300330032703,98065
G5300330032602,98065
G5300750000900,99171
G5400810011500,25801
G5400810011300,25801
G5400810010500,25801
G5400810010400,25801
G5400810010600,25801
G5400810011001,25801
G5400810010200,25801
G5400810010300,25801
G5400810010700,25801
G5400870962800,25276
G5400870963000,25276
G5401010970200,26288
G5401010970100,26288
G5400010965800,26250
G5501110000700,53583
G5500530960500,54615
G5500530960100,54615
G5500810950100,54666
G5600050000500,82718
G5600050000200,82718
G5600050000100,82718
G5600050000300,82718
G5101650011000,22830
G4701230985500,37385
G5500110960200,54755
G5500110960100,54755
G3400250806900,07711
G0202900000100,99740
G2700710990500,56627
G3400030028001,07605
G3400030028002,07605
G3300170088500,03855
G3400390038700,07023
G4100610970100,97827
G3700610990800,28458
G4200450404004,19043
G5400130962600,26147
G5400670980700,26679
G0100610050400,36344
G0101290994000,36518
G0400150953300,86406
G0400150953400,86406
G0400150952800,86406
G0500770970100,72360
G0500770970400,72360
G0500770970300,72360
G0600870121700,95010
G0600870121800,95010
G0600450010400,95437
G0600450010500,95437
G0600450010300,95437
G0600350040100,96132
G0101250010702,35453
G0101250010802,35453
G0101250010804,35453
G0400170960400,86047
G0400170960600,86047
G0400170944700,86047
G0400170960500,86047
G0400170944500,86047
G1200860007400,33146
G1200860007503,33146
G1200860007901,33146
G1200860007501,33146
G1200860007502,33146
G2100890040500,41144
G2200450031500,70560
G2200450030300,70560
G2200450031000,70560
G2200450031200,70560
G2200450031100,70560
G2200450030900,70560
G2200450030800,70560
G2200450031300,70560
G2200450030400,70560
G2200670950300,71220
G2200670950200,71220
G2200670950800,71220
G2200670950500,71220
G2200670950400,71220
G1800890040100,46394
G1800890020100,46394
G1800890040200,46394
G2400390980102,21853
G2400390980101,21853
G2400390980200,21853
G2500050640300,02724
G2500050640400,02724
G2500050640200,02724
G2500050640500,02724
G2600710980500,49920
G2600710980100,49920
G2701190020100,56721
G2701190020200,56721
G2701190020300,56721
G2500010012200,02668
G2800050950100,39645
G2800050950300,39645
G2901860990400,63670
G2901860990300,63670
G2901860990200,63670
G2901530970100,65655
G2901530970200,65655
G2601190990300,49746
G2601190990100,49746
G2500170324100,01460
G3500450942800,87420
G3600810099900,11359
G3601030124500,11702
G3601030124402,11702
G3601030124602,11702
G3601030124601,11702
G3700550970600,27954
G3601030158317,11789
G4000410976000,74346
G4100630960300,97828
G4100650970300,97058
G4100650970400,97058
G4100650970200,97058
G4100650970500,97058
G4100650970100,97058
G4100650970700,97058
G3600590300800,11020
G4500730031000,29693
G4500730031100,29693
G4500730030900,29693
G4500690960200,29512
G4500690960302,29512
G4500690960301,29512
G4500070011700,29655
G4500010950300,29655
G3101570953900,69341
G3101570953800,69341
G3101570953200,69341
G4801170950100,79045
G4800690950100,79045
G4801170950300,79045
G4801170950400,79045
G4801170950200,79045
G4801170950500,79045
G4100410951600,97394
G4100190010000,97467
G4100190020000,97467
G3400190011301,08822
G3400190011303,08822
G3400190011302,08822
G3400190011400,08822
G3400190011202,08822
